iter	Passed	Remaining
0	2	202
1	3	160
2	4	146
3	6	148
4	7	137
5	8	128
6	9	122
7	12	148
8	14	143
9	15	136
10	16	130
11	17	126
12	18	122
13	19	118
14	20	116
15	21	113
16	23	113
17	24	112
18	26	112
19	28	112
20	29	111
21	32	114
22	34	114
23	35	112
24	36	109
25	37	107
26	38	105
27	39	102
28	41	101
29	42	99
30	43	97
31	44	95
32	45	93
33	47	91
34	48	89
35	49	87
36	50	85
37	51	83
38	52	81
39	53	79
40	54	78
41	54	75
42	58	77
43	60	76
44	62	76
45	63	75
46	65	73
47	66	71
48	67	70
49	68	68
50	69	67
51	71	65
52	72	64
53	73	62
54	74	60
55	75	59
56	76	57
57	77	56
58	78	54
59	79	53
60	80	51
61	81	50
62	82	48
63	84	47
64	85	45
65	86	44
66	87	43
67	88	41
68	89	40
69	90	38
70	91	37
71	92	36
72	93	34
73	94	33
74	95	31
75	96	30
76	98	29
77	99	28
78	100	26
79	103	25
80	105	24
81	106	23
82	107	22
83	108	20
84	109	19
85	111	18
86	112	16
87	113	15
88	114	14
89	115	12
90	116	11
91	118	10
92	120	9
93	121	7
94	122	6
95	123	5
96	124	3
97	125	2
98	126	1
99	128	0
